reaction_ammo

[OBJECT:REACTION]

[REACTION:MANUFACTURE_AMMO_SMALL_LOW_QUALITY]
	[NAME:make 150 small caliber ammo from non-weapon metal]
	[REAGENT:A:150:BAR:NONE:INORGANIC:IRON]
	[REAGENT:C:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:D:1:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[FUEL]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_SMALL_STEEL]
	[NAME:make 150 steel small caliber ammo]
	[BUILDING:BOWYER:CUSTOM_P]
	[BUILDING:FORGE_GUNSMITH:CUSTOM_P]
	[BUILDING:FORGE_GUNSMITH_MAGMA:CUSTOM_P]
	[REAGENT:A:150:BAR:NONE:INORGANIC:STEEL]
	[REAGENT:C:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:D:1:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[FUEL]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_SMALL_STELLARITE]
	[NAME:make 150 stellarite small caliber ammo]
	[BUILDING:BOWYER:CUSTOM_ALT_P]
	[BUILDING:FORGE_GUNSMITH:CUSTOM_ALT_P]
	[BUILDING:FORGE_GUNSMITH_MAGMA:CUSTOM_ALT_P]
	[REAGENT:A:150:BAR:NONE:INORGANIC:STELLARITE]
	[REAGENT:C:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:D:1:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:30:AMMO:ITEM_AMMO_BULLET_SMALL:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[FUEL]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_MEDIUM_LOW_QUALITY]
	[NAME:make 140 medium caliber ammo from non-weapon metal]
	[BUILDING:BOWYER:CUSTOM_ALT_M]
	[BUILDING:FORGE_GUNSMITH:CUSTOM_ALT_M]
	[BUILDING:FORGE_GUNSMITH_MAGMA:CUSTOM_ALT_M]
	[REAGENT:A:150:BAR:NONE:NONE:NONE][REACTION_CLASS:WEAPON_METAL_LOW]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:2:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[FUEL]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_MEDIUM_BRONZE]
	[NAME:make 140 bronze medium caliber ammo]
	[BUILDING:BOWYER:CUSTOM_SHIFT_M]
	[BUILDING:FORGE_GUNSMITH:CUSTOM_SHIFT_M]
	[BUILDING:FORGE_GUNSMITH_MAGMA:CUSTOM_SHIFT_M]
	[REAGENT:A:150:BAR:NONE:INORGANIC:BRONZE]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:2:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[FUEL]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_MEDIUM_IRON]
	[NAME:make 140 iron medium caliber ammo]
	[BUILDING:BOWYER:CUSTOM_M]
	[BUILDING:FORGE_GUNSMITH:CUSTOM_M]
	[BUILDING:FORGE_GUNSMITH_MAGMA:CUSTOM_M]
	[REAGENT:A:150:BAR:NONE:INORGANIC:IRON]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:2:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[FUEL]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_MEDIUM_STEEL]
	[NAME:make 140 steel medium caliber ammo]
	[BUILDING:BOWYER:CUSTOM_R]
	[BUILDING:FORGE_GUNSMITH:CUSTOM_R]
	[BUILDING:FORGE_GUNSMITH_MAGMA:CUSTOM_R]
	[REAGENT:A:150:BAR:NONE:INORGANIC:STEEL]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:2:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[FUEL]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_MEDIUM_STELLARITE]
	[NAME:make 140 stellarite medium caliber ammo]
	[BUILDING:BOWYER:CUSTOM_ALT_R]
	[BUILDING:FORGE_GUNSMITH:CUSTOM_ALT_R]
	[BUILDING:FORGE_GUNSMITH_MAGMA:CUSTOM_ALT_R]
	[REAGENT:A:150:BAR:NONE:INORGANIC:STELLARITE]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:2:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:28:AMMO:ITEM_AMMO_BULLET_MEDIUM:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[FUEL]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_SHELL_BUCKSHOT_LOW_QUALITY]
	[NAME:make 100 buckshot shotgun shells from non-weapon metal]
	[BUILDING:BOWYER:CUSTOM_ALT_B]
	[BUILDING:FORGE_GUNSMITH:CUSTOM_ALT_B]
	[BUILDING:FORGE_GUNSMITH_MAGMA:CUSTOM_ALT_B]
	[REAGENT:A:150:BAR:NONE:NONE:NONE][REACTION_CLASS:WEAPON_METAL_LOW]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:1:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[FUEL]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_SHELL_BUCKSHOT_BRONZE]
	[NAME:make 100 bronze buckshot shotgun shells]
	[BUILDING:BOWYER:CUSTOM_SHIFT_B]
	[BUILDING:FORGE_GUNSMITH:CUSTOM_SHIFT_B]
	[BUILDING:FORGE_GUNSMITH_MAGMA:CUSTOM_SHIFT_B]
	[REAGENT:A:150:BAR:NONE:INORGANIC:BRONZE]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:1:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[FUEL]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_SHELL_BUCKSHOT_IRON]
	[NAME:make 100 iron buckshot shotgun shells]
	[BUILDING:BOWYER:CUSTOM_B]
	[BUILDING:FORGE_GUNSMITH:CUSTOM_B]
	[BUILDING:FORGE_GUNSMITH_MAGMA:CUSTOM_B]
	[REAGENT:A:150:BAR:NONE:INORGANIC:IRON]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:1:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[FUEL]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_SHELL_BUCKSHOT_STEEL]
	[NAME:make 100 steel buckshot shotgun shells]
	[BUILDING:BOWYER:CUSTOM_P]
	[BUILDING:FORGE_GUNSMITH:CUSTOM_P]
	[BUILDING:FORGE_GUNSMITH_MAGMA:CUSTOM_P]
	[REAGENT:A:150:BAR:NONE:INORGANIC:STEEL]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:1:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[FUEL]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_SHELL_BUCKSHOT_STELLARITE]
	[NAME:make 100 stellarite buckshot shotgun shells]
	[BUILDING:BOWYER:CUSTOM_ALT_P]
	[BUILDING:FORGE_GUNSMITH:CUSTOM_ALT_P]
	[BUILDING:FORGE_GUNSMITH_MAGMA:CUSTOM_ALT_P]
	[REAGENT:A:150:BAR:NONE:INORGANIC:STELLARITE]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:1:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_BUCKSHOT:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[FUEL]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_SHELL_SLUG_LOW_QUALITY]
	[NAME:make 100 shotgun slugs from non-weapon metal]
	[BUILDING:BOWYER:CUSTOM_ALT_L]
	[BUILDING:FORGE_GUNSMITH:CUSTOM_ALT_L]
	[BUILDING:FORGE_GUNSMITH_MAGMA:CUSTOM_ALT_L]
	[REAGENT:A:150:BAR:NONE:NONE:NONE][REACTION_CLASS:WEAPON_METAL_LOW]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:1:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[FUEL]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_SHELL_SLUG_BRONZE]
	[NAME:make 100 bronze shotgun slugs]
	[BUILDING:BOWYER:CUSTOM_SHIFT_L]
	[BUILDING:FORGE_GUNSMITH:CUSTOM_SHIFT_L]
	[BUILDING:FORGE_GUNSMITH_MAGMA:CUSTOM_SHIFT_L]
	[REAGENT:A:150:BAR:NONE:INORGANIC:BRONZE]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:1:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[FUEL]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_SHELL_SLUG_IRON]
	[NAME:make 100 iron shotgun slugs]
	[BUILDING:BOWYER:CUSTOM_L]
	[BUILDING:FORGE_GUNSMITH:CUSTOM_L]
	[BUILDING:FORGE_GUNSMITH_MAGMA:CUSTOM_L]
	[REAGENT:A:150:BAR:NONE:INORGANIC:IRON]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:1:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[FUEL]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_SHELL_SLUG_STEEL]
	[NAME:make 100 steel shotgun slugs]
	[BUILDING:BOWYER:CUSTOM_G]
	[BUILDING:FORGE_GUNSMITH:CUSTOM_G]
	[BUILDING:FORGE_GUNSMITH_MAGMA:CUSTOM_G]
	[REAGENT:A:150:BAR:NONE:INORGANIC:STEEL]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:1:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[FUEL]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_SHELL_SLUG_STELLARITE]
	[NAME:make 100 stellarite shotgun slugs]
	[BUILDING:BOWYER:CUSTOM_ALT_G]
	[BUILDING:FORGE_GUNSMITH:CUSTOM_ALT_G]
	[BUILDING:FORGE_GUNSMITH_MAGMA:CUSTOM_ALT_G]
	[REAGENT:A:150:BAR:NONE:INORGANIC:STELLARITE]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:1:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:20:AMMO:ITEM_AMMO_SHOTGUN_SHELL_SLUG:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[FUEL]
	[SKILL:BOWYER]
	[CATEGORY:MANUFACTURE_AMMO]

[REACTION:MANUFACTURE_AMMO_LARGE_LOW_QUALITY]
	[NAME:make 28 large caliber ammo from non-weapon metal]
	[BUILDING:BOWYER:CUSTOM_ALT_L]
	[BUILDING:FORGE_GUNSMITH:CUSTOM_ALT_L]
	[BUILDING:FORGE_GUNSMITH_MAGMA:CUSTOM_ALT_L]
	[REAGENT:A:150:BAR:NONE:NONE:NONE][REACTION_CLASS:WEAPON_METAL_LOW]
	[REAGENT:B:150:BAR:NONE:INORGANIC:BRASS]
	[REAGENT:C:3:TOY:ITEM_GUNPOWDER:NONE:NONE]
	[PRODUCT:100:14:AMMO:ITEM_AMMO_BULLET_LARGE:GET_MATERIAL_FROM_REAGENT:A:NONE]
